,EAST,EVER,KRV,OKEE,PP,SJM
EAST,0,13771,43385,15924,298085,35273
EVER,13771,0,95826,20378,369028,112259
KRV,43385,95826,0,25243,163055,23540
OKEE,15924,20378,25243,0,297987,48160
PP,298085,369028,163055,297987,0,241972
SJM,35273,112259,23540,48160,241972,0
